track_name,artist_name,ms_played,minutes_played
Black Flies,Ben Howard,258877,4.31
The Wolves,Ben Howard,309346,5.16
The Wolves (Act I and II),Bon Iver,293778,4.90
THISKIDSNOTALRIGHT,AWOLNATION,161200,2.69
Guilty Filthy Soul,AWOLNATION,178236,2.97
Trojans,Atlas Genius,138019,2.30
Pressure,Youngblood Hawke,133375,2.22
Ordinary Human,OneRepublic,273809,4.56
Come Home,OneRepublic,182694,3.04
Sight of the Sun - Single Version,fun.,210322,3.51
Tongue Tied,GROUPLOVE,218013,3.63
Ways to Go,GROUPLOVE,215520,3.59
Let Me In - From The Fault in Our Stars Soundtrack,GROUPLOVE,239657,3.99
Naked Kids,GROUPLOVE,210426,3.51
Itchin' on a Photograph,GROUPLOVE,259506,4.33
Colours,GROUPLOVE,257786,4.30
No Drama Queen - Paper Towns Soundtrack Version,GROUPLOVE,164333,2.74
Shark Attack,GROUPLOVE,238626,3.98
Lovely Cup,GROUPLOVE,257773,4.30
The Masquerade Is Over,Nancy Wilson,258106,4.30
Corcovado (Quiet Nights Of Quiet Stars),Stan Getz,254400,4.24
He's Younger Than You Are,Sonny Rollins,307432,5.12
When It's Sleepytime Down South,Wynton Marsalis,218917,3.65
Swinging from the Castles,AWOLNATION,148050,2.47
Mf,AWOLNATION,197733,3.30
Some Kind of Joke,AWOLNATION,292439,4.87
I'm with You,GROUPLOVE,283840,4.73
Guilty Filthy Soul,AWOLNATION,213485,3.56
Knights of Shame,AWOLNATION,641320,10.69
Take Me To Church,Hozier,241688,4.03
Angel Of Small Death & The Codeine Scene,Hozier,219214,3.65
Run,Hozier,254766,4.25
In A Week,Hozier,144567,2.41
Cherry Wine - Live,Hozier,240147,4.00
To Be Alone,Hozier,323639,5.39
I'm Gonna Find Another You,John Mayer,145076,2.42
I'm Gonna Find Another You,John Mayer,163026,2.72
I've Got To See You Again,Norah Jones,253333,4.22
The Eye,Brandi Carlile,211674,3.53
Mr. Grogan,Colin Hay,217000,3.62
Worn Out Shoes,Joe Purdy,232666,3.88
(Nice To Meet You) Anyway - Stripped Version,Gavin DeGraw,286933,4.78
I'm Gonna Find Another You,John Mayer,163026,2.72
Turpentine,Brandi Carlile,178320,2.97
Sunrise,Norah Jones,200626,3.34
Soul Suckers,Amos Lee,169626,2.83
Beautiful World,Colin Hay,244640,4.08
Won't Back Down,Mat Kearney,308160,5.14
Waiting For Love,Avicii,228749,3.81
This Summer,Maroon 5,224399,3.74
King,Olly Alexander (Years & Years),215360,3.59
Are You With Me,Lost Frequencies,140618,2.34
